,bowl,E384,
,box,E29E,
,boy,E001,"small,few: man"
,boys,E002,"small,few: man"
,Bozrah,EFEC,"Sheep: soft: keep: very: have: hand: village: many,much: neighbor: house: near,close"
,branch,E246,"tree,plant,wood"
,brave,E196,"afraid,fear: no,not: mouth,said,speak: heart"
,bread,E05D,"mouth,said,speak: grain,wheat"
,break,E0E1,"knife,cut: whole,all"
,breastplate,ECD5,Shield: body: person
,breath,ECEE,"Mouth,said,speak,confession: air"
,breathe,ECEE,"mouth,said,speak: air"
,bribe,EBDB,"Bad: no,not: good: to,forward: money,wealth,wealthy"
,brick,EEFB,"Make,create: hand: person: rock: hard: soft: no,not: thing"
,bride,E015,"woman: start,beginning: love,compassion"
,bright,E21B,"very: sun,day"
,bring,E088,hand: thing
,bronze,EB2C,soft: metal
,brother,E006,"man: small,few: love,compassion"
,brothers,E007,"man: small,few: love,compassion"
,build,E17A,house: make: hand: person
,building,E0A1,
,burden,EC86,hand: big: measure: person
,burn,ECD0,"Kill,destroy,destruction: knife,cut: person: fire,hot,heat"
,burnt,ECD0,"Kill,destroy,destruction: knife,cut: person: fire,hot,heat"
,bury,E0D7,"straight: death,dead,die: no,not: heart"
,but,E11A,"thing: fabric,clothing"
,buy,E32A,"to,forward: money,wealth,wealthy"
,Buz,E1A5,Man: least: very: small: know
,Caesar,E370,"man: big: ruler,king,crown,lord"
,Caesarea,E346,"person: crown,ruler,king,lord: land,ground,earth"
,Caiaphas,EA77,"man: murderer: cross: knife,cut: person: kill,destroy"
,Cain,EC56,Man: have: hand
,Cainan,EC56,man: have: hand: .
,Calah,EDC6,"Old: no,not: new: village: many,much: neighbor: house: near,close"
,call,E040,"mouth,said,speak: near"
,camel,E29F,
,can,E124,"big: knife,cut"
,Cana,EBA2,reed: big: grass: village: many: neighbor: house: near
,Canaan_land,E33D,"promise: mouth,said,speak: work,do: land,ground,earth"
,Canaan_man,EDC7,Man: promise: mouth: work
,Candace,EB85,"woman: crown,ruler,king,lord"
,Capernaum,E33A,soft: village: many: neighbor: house: near
,Caphtorites,EDC8,Fruit: people
,Cappadocia,EB74,"horse: land,ground,earth"
,careful,E19E,"small,few: heart"
,carpenter,E14F,"person: hand: thing: tree,plant,wood"
,Carpus,ECAD,"Man: Big: fabric,clothing"
,carry,E088,hand: thing
,case,EC87,"justice: to,forward: hand: equal,same: land,ground,earth: church,temple"
,catch,E115,thing: net
,Cauda,EC36,"no,not: walk: island: wet,water: land,ground,earth"
,cave,EDA6,Hole: mountain
,Cenchrea,EB3D,"small,few: village: many: neighbor: house: near"
,census,E0B8,"person: book,read,learn: number"
,centurion,EB7A,"lead,leader: to,forward: person: war,fight,battle"
,Cephas,E356,"Man: hear,ear"
,ceremony,EC88,"part,some: believe,faith: know,knowledge: cross: time,when"
,chain,E25F,
,chair,E298,
,Chaldea,EB0E,"river,stream: land,ground,earth"
,change,E31E,
,chapter,E230,"book,read,learn: part"
,chariot,EC82,"horse: chair,sit"
,child,E200,"small,few: person"
,children,E201,"small,few: people"
,Chios,EB22,"island: wet,water: land,ground,earth: cold: no,not: fire,heat,hot"
,Chloe,EBE2,"woman: grain,wheat"
,choose,E021,"love,compassion: or"
,Chorazin,EA8F,"not,no: good: hot,fire,heat: village: many: neighbor,house,near"
,Christ,E334,"very: king,ruler,crown,lord: anointed: mouth,said,speak: near: person"
,Christian,EB90,"follow: people: to,forward: crown,ruler.king,lord: cross"
,church,EBFC,cross: building
,Chuza,EC57,"man: small,few: mouth,speak,said"
,Cilicia,EB5B,"hair: face: fabric,clothing: land,ground,earth"
,circumcise,E250,"knife,cut: flesh: soft: person"
,circumcision,E250,"knife,cut: flesh: soft: person"
,citizen,EB98,"person: very: land,ground,earth"
,Clauda,EC36,"no,not: walk: island: wet,water: land,ground,earth"
,Claudia,ECAE,"Woman: no,not: walk"
,Claudius,EB8A,"man: no,not: walk"
,clay,EBEC,"Water,wet: soil,dirt: land,ground,earth"
,clean,E248,"wet,water: good"
,Clement,ECE3,"Man: good: spirit: no,not: person"
,Cleopas,EC58,"man: all,whole: know,knowledge"
,cloak,EA76,"big: fabric,clothing"
,Clopas,EBB5,man: near: cross
,close,E300,
,closed,E23F,
,clothe,E147,"fabric,clothing: person"
,clothing,E253,
,cloud,E26E,soft: thing
,Cnidus,EC14,thorn: village: many: neighbor: house: near
,cohort,E148,"person: war,fight,battle: many"
,cold,E0F2,"no,not: fire,heat,hot"
,color,E284,
,Colossae,ECE8,"Animal: bad: no,not: good: village: many,much: neighbor: house: near,close"
,come,E25A,walk: near
