,Baal_Gad,e44b,Josh 11:17
,Baal_Hanan,e169,Gen 36:38
,Baal_Hazor,e7f5,2 Sam 13:23
,Baal_man,e5fe,1 Chr 9:36
,Baal_Meon,e3c8,Num 32:38
,Baal_Shalishah,e6a4,2 Kgs 24:42
,Baal_Zephon,e0bd,Exod 14:2
,Baalah,e4d9,Josh 15:29
,Baalis,e8fd,Jer 40:14
,Baanah,e488,2 Sam 4:2
,Baara,e664,1 Chr 8:8
,Baaseiah,e665,1 Chr 6:40
,Baasha,e5cc,1 Kgs 15:16
,baby,e0a6,
,Babylon,ea67,Acts 7:43
,backward,e325,
,bad,e17d,
,bag,e26f,
,Bahurim,e963,1 Kgs 2:8
,Bakbakkar,e5ff,1 Chr 9:15
,Bakbuk,e82a,Ezra 2:51
,Bakbukiah,e888,Neh 11:17
,Balaam,eca1,2 Pet 2:15
,Baladan,e6a5,2 Kgs 20:12
,Balak,ebff,Rev 2:14
,Bamoth_land,e3c0,Num 21:19
,Bani,e600,1 Chr 9:14
,bank,ec55,
,banner,e2b1,
,baptize,e24a,
,Barabbas,e36d,Matt 27:16
,Barachiah,ea97,Matt 23:35
,Barak,ed02,Heb 11:32
,Barakel,e862,Job 32:2
,Bariah,e728,1 Chron 3:22
,Barkos,e82b,Ezra 2:53
,Barnabas,ec2f,Acts 9:27
,Barsabbas,eb69,"Acts 15:22,27"
,Bartholomew,e362,Matt 10:3
,Bartimaeus,e36b,Mark 10:46
,Baruch,e889,Neh 3:21
,Barzillai,e964,1 Kgs 2:7
,Basemath,edbd,Gen 26:34
,Bashan,e3a6,Num 21:33
,basket,e19f,
,Bathsheba,e4af,1 Kgs 1:11
,Bazluth,e82c,Ezra 2:52
,Bealiah,e800,1 Chron 12:5
,Bealoth,e4da,Josh 15:24
,bear,ecef,
,bear_with,e227,
,beast,e103,
,beat,e0e4,
,beauty,ea4a,
,Bebai,e82d,Ezra 2:11
,because,e066,
,become_person,e83a,
,become_thing,e839,
,bed,e122,
,Bedad,e1ee,Gen 36:35
,Bedeiah,e8da,Ezra 10:35
,Beer,e3a7,Num 21:16
,Beer_Lahai_Roi,eef9,Gen 16:14
,Beerah,e629,1 Chr 5:6
,Beeri,edbe,Gen 26:34
,Beeroth,e42b,Deut 10:6
,Beersheba,edbf,Gen 26:33
,before,e107,
,beg,e21e,
,behind,e116,
,Beker,efb1,Gen 46:21
,Bekorath,e6cd,1 Sam 9:1
,Bela_man,e1ed,Gen 14:2
,Bela_village,edc1,Gen 14:8
,believe,e06f,
,bell,e0be,
,Belshazzar,e868,Dan 5:1
,belt,e29d,
,Ben_Abinadab,e965,1 Kgs 4:11
,Ben_Ammi,edc2,Gen 19:38
,Ben_Deker,e966,1 Kgs 4:9
,Ben_Hadad,e453,1 Kgs 15:18
,Ben_Hail,e784,2 Chron 17:7
,Ben_Hanan,e708,1 Chron 4:20
,Ben_Hesed,e967,1 Kgs 4:10
,Ben_Hinnom,e4db,Josh 15:8
,Ben_Hur,e968,1 Kgs 4:8
,Ben_oni,e1a4,Gen 35:18
,Benaiah,e4b0,1 Kgs 1:8
,Bene_Berak,e59c,Jos 19:45
,Bene_Jaakan,e3db,Num 33:31
,Beninu,e88a,Neh 10:13
,Benjamin_land,e5cd,1 Kgs 15:22
,Benjamin_man,eb4b,Gen 35:18
,Beno,e7d1,1 Chron 24:26
,Beon,e3c9,Num 32:3
,Beor,eda3,Gen 36:32
,Bera,edc3,Gen 14:2
,Beraiah,e666,1 Chr 8:21
,Berakah,e801,1 Chron 12:3
,Berea,eb13,Acts 17:10
,Bered_city,e2d0,Gen 16:14
,Bered_man,efb2,I Chr 7:20
,Berekiah,e977,Zech 1:1
,Beri,e764,1 Chron7:36
,Beriah,efb3,Gen 46:17
,Bernice,eb9e,Acts 25:13
,Berothai,e718,2 Sam 8:8
,Besai,e82e,Ezra 2:49
,beside,e117,
,best,e21f,
,Beten,e59d,Jos 19:25
,Beth_Anath,e4dc,Josh 15:59
,Beth_Arabah,e4b8,Josh 15:6
,Beth_Arbel,e6c4,Hos 10:14
,Beth_Ashbea,e709,1 Chron 4:21
,Beth_Aven,e546,Josh7:2
,Beth_Baal_Meon,e547,Josh 13:17
,Beth_Barah,e571,Judg 7:24
,Beth_Dagon,e4b9,Josh 15:41
,Beth_Diblathaim,e8fe,Jer 48:22
,Beth_Eden,e454,Amos 1:5
,Beth_Emek,e59e,Jos 19:27
,Beth_Ezel,e43a,Mic 1:11
,Beth_Gamul,e8ff,Jer 48:23
,Beth_Hakkerem,e88b,Neh 3:14
,Beth_Haran,e479,Num 32:36
,Beth_Hoglah,e4ba,Josh 15:6
,Beth_Horon,e42c,Josh 10:10
,Beth_Jeshimoth,e3dc,Num 33:49
,Beth_Leaphrah,e491,Mic 1:10
,Beth_Markaboth,e59f,Jos 19:5
,Beth_Meon,e900,Jer 48:23
,Beth_Millo,e572,Judg 9:6
,Beth_Pazzez,e5a0,Jos 19:21
,Beth_Pelet,e4bb,Josh 15:27
,Beth_Peor,e423,Deut 3:29
,Beth_Rapha,e70a,1 Chrn 4:12
,Beth_Shan,e4e7,1 Sam 31:10
,Beth_Shemesh,e4f9,Josh 21:16
,Beth_Shittah,e573,Judg 7:22
,Beth_Zur_city,e766,1Chron 2:45
,Beth_Zur_man,eb79,1 Chron 2:45
,Bethany,e349,Matt  21:17
,Bethel,edc4,Gen 12:8
,Bethesda,eba0,John 5:2
,Bethlehem_man,e765,1 Chro  2:54
,Bethlehem_village,ea45,Matt 2:1
,Bethphage,e348,Matt 21:1
,Bethsaida,e340,Matt 11:21
,Bethuel_city,e1e0,I Chr 4:30
,Bethuel_man,e1a0,Gen 22:22
,Betonim,e548,Josh 13:26
,betray,e195,
,better,e09e,
,between,e118,
,Bezalel,e0bf,Exod 31:2
,Bezek,e574,Judg 1:4
,Bezer_man,e767,1 Chron 7:37
,Bezer_village,e466,Deut 4:43
,Bible,e22c,
,Bidkar,e617,2 Kgs 9:25
,big,e120,
,Bigthana,e492,Esth 6:2
,Bigvai,e82f,Ezra 2:2
,Bikri,e719,2 Sam 20:1
,Bildad,e7c8,Job 2:11s
,Bilgah,e7d2,1 Chron 24:14
,Bilgai,e88c,Neh 10:8
,Bilhah_village,e707,1 Chron 4:29
,Bilhah_woman,eefa,Gen 29:29
,Bilhan,efeb,Gen 36:27
,Bilshan,e830,Ezra 2:2
,Bimhal,e768,1 Chron 7:33
,Binea,e601,1 Chr 9:43
,Binnui,e88d,Neh 3:18
,bird,e25c,
,Birsha,edc5,Gen 14:2
,birth,e235,
,Birzaith,e769,1 Chron 7:31
,Bishlam,e8db,Ezra 4:7
,Bithynia,eb48,Acts 16:7
,bitter,ecd2,
,Biziothiah,e4bc,Josh 15:28
,black,eb86,
,blasphemy,e05b,
,Blastus,eb8d,Acts 12:20
,bless,e05c,
,blessed,ea21,
,blind,e192,
,blood,e087,
,blue,ecda,
,boast,e14b,
,boat,e265,
,Boaz,ea54,Matt 1:5
,body,e143,
,Bohan,e4bd,Josh 16:6
,Bokeru,e602,1 Chr 9:44
,Bokim,e575,Judg 2:1
,bone,e0b2,
,book,e22a,
,bottom,e119,
,bow,e210,
,bow_arrow,ecc8,
,bowl,e384,
,box,e29e,
,boy,e001,
,boys,e002,
,Bozkath,e4be,Josh 15:39
,Bozrah,efec,Gen 36:33
,branch,e246,
,brave,e196,
,bread,e05d,
,break,e0e1,
,breast,e2db,
,breastplate,ecd5,
,breath,ecee,
,bribe,ebdb,
,brick,eefb,
,bride,e015,
,bright,e21b,
,bring,e088,
,bronze,eb2c,
,brother,e006,
,brothers,e007,
,Bubastis,e922,Eze 30:17
,build,e17a,
,building,e0a1,
,Bukki,e3e3,Num 34:22
,Bunah,e76a,1 Chron 2:25
,Bunni,e88e,Neh 10:15
,burden,ec86,
,burn,ecd0,
,bury,e0d7,
,but,e11a,
,buy,e32a,
,Buz,e1a5,Gen 22:21
,Buzi,e8f1,Ezek 1:3
,Caesar,e370,Acts 26:32
,Caesarea,e346,Matt 16:13
,Caiaphas,ea77,Matt 26:3
,Cainan,ec56,Luke 3:36
,Calah,edc6,Gen 10:12
,Caleb,e2b2,Num 13:6
,call,e040,
,camel,e29f,
,Cana,eba2,John 2:11
,Canaan_land,e33d,Acts 7:11
,Canaan_man,edc7,Gen 9:18
,Candace,eb85,Acts 8:27
,Capernaum,e33a,Matt 4:13
,Cappadocia,eb74,Acts 2:9
,Carchemish,e714,Isa 10:9
,careful,e19e,
,Carmel,e43d,Josh 12:22
,carpenter,e14f,
,Carpus,ecad,2 Tim 4:13
,case,ec87,Exod 18:22
,catch,e115,
,Cauda,ec36,Acts 27:16
,cave,eda6,
,Cenchrea,eb3d,Acts 18:18
,census,e0b8,
,centurion,eb7a,
,ceremony,ec88,
,chain,e25f,
,chair,e298,
,Chaldea,eb0e,Jer 50:10
,change,e31e,
,chapter,e230,
,chariot,ec82,
,Chemosh,e3a8,Num 21:29
,chew_cud,e2da,Lev 11:3
,child,e200,
,children,e201,
,Chios,eb22,Acts 20:15
,Chloe,ebe2,1 Cor 1:11
,choose,e021,
,Chorazin,ea8f,Matt 11:21
,Christ,e334,Matt 1:1
,Christian,eb90,Acts 26:28
,Chronicles,e419,
,church,ebfc,
,Chuza,ec57,Luke 8:3
,Cilicia,eb5b,Acts 6:9
,circumcise,e250,
,citizen,eb98,
,Claudia,ecae,2 Tim 4:21
,Claudius,eb8a,Acts 11:28
,clay,ebec,
,clean,e248,
,Clement,ece3,Phil 4:3
,Cleopas,ec58,Luke 24:18
,cloak,ea76,
,Clopas,ebb5,John 19:25
,closed,e23f,
,clothe,e147,
,clothing,e253,
,cloud,e26e,
,Cnidus,ec14,Acts 27:7
,cohort,e148,
,cold,e0f2,
,color,e284,
,Colossae,ece8,Col 1:2
,come,e25a,
,comfort,ea3b,
,command,e058,
,complete,ecec,
,concubine,eefc,
,condemn,ea7f,
,confuse,eb08,
,control,e332,
,Corinth,ea59,Acts 18:1
,Cornelius,eb81,Acts 10:1
,corner,eb83,
,cornerstone,e21c,
,correct,e09a,
,Cosam,ec59,Luke 3:28
,couch,eb5f,
,council,e0f7,
,country,e0a2,
,countrymen,e157,
,countryside,eb96,
,courtyard,e0f6,
,covenant,e21d,
,cover,e39a,
,cow,eb36,
,creation,ebc3,
,Creator,ec22,Rom 1:25
