,Cilicia,,eb5b,"hair: face: clothing,fabric: land,ground,earth,space"
,circumcise,circumcision circumcise,e250,"knife,cut: flesh: soft: person"
,citizen,,eb98,"person: very: land,ground,earth,space"
,Claudia,,ecae,"Woman: no,not: walk"
,Claudius,,eb8a,"man: no,not: walk"
,clay,,ebec,"Water,wet: dirt,soil,ground_soil: land,ground,earth,space"
,clean,pure clean,e248,"water,wet: good"
,Clement,,ece3,"Man: good: spirit: no,not: person"
,Cleopas,,ec58,"man: all,whole: know,knowledge"
,cloak,,ea76,"big: clothing,fabric"
,Clopas,,ebb5,"man: near,close: cross"
,closed,,e23f,
,clothe,to_clothe clothe,e147,"clothing,fabric: person"
,clothing,fabric clothing,e253,
,cloud,,e26e,soft: thing
,Cnidus,,ec14,"thorn: village: many,much: neighbor: house: near,close"
,cohort,cohort army,e148,"soldier: person: war,fight,battle: many,much"
,cold,,e0f2,"no,not: fire,heat,hot"
,color,,e284,
,Colossae,,ece8,"Beast: animal: bad: no,not: good: village: many,much: neighbor: house: near,close"
,come,visit come,e25a,"walk: near,close"
,comfort,,ea3b,"love,compassion: sleep,rest,lie_down: person"
,command,insist command,e058,
,complete,perfect complete,ecec,"Very: all,whole"
,concubine,,eefc,"Love,compassion: chain,imprisoned,bound,arrest: woman"
,condemn,condemnation condemn,ea7f,"mouth,said,speak,confession: know,knowledge: wrong: no,not"
,confuse,,eb08,"no,not: understand,understanding: know,knowledge: very"
,control,,e332,"tie,knot: down"
,Corinth,,ea59,"full: cup,drink: village: many,much: neighbor: house: near,close"
,Cornelius,,eb81,"man: sun,day"
,corner,,eb83,"clothing,fabric"
,cornerstone,,e21c,"very: hard: soft: no,not: thing"
,correct,yes correct,e09a,good
,Cosam,,ec59,"man: many,much"
,couch,,eb5f,"big: chair,sit"
,council,,e0f7,"body: forward,to; person"
,country,nation country,e0a2,"big: land,ground,earth,space"
,countrymen,,e157,"friend: person: love,compassion: land,ground,earth,space"
,countryside,,eb96,"big: farm,field: grain,wheat: land,ground,earth,space"
,courtyard,,e0f6,"land,ground,earth,space"
,covenant,,e21d,"promise: mouth,said,speak,confession: very: work,do"
,cover,,e39a,straight: thing
,cow,,eb36,
,creation,,ebc3,"person: thing: all,whole"
,Creator,,ec22,"God: king,lord,ruler,master: man: build: house: make,create: hand: person: love,compassion"
,Crescan,,ecaf,"Man: grow: up: land,ground,earth,space"
,Crete,,ec8d,"flesh: soft: person: island: water,wet: land,ground,earth,space"
,Crispus,,eb3a,"man: crooked: no,not: straight"
,crooked,,eb39,"no,not: straight"
,cross,,e038,
,crowd,multitude crowd,e128,people
,crown,,eda4,"Thing: king,lord,ruler,master"
,crucify,,e03c,"kill,destroy,destruction: knife,cut: person: cross"
,crush,,e146,person: thing
,cry,,e20c,"sad,grieve: water,wet"
,cup,drink cup,e274,
,curse,,e05a,"mouth,said,speak,confession: bad: no,not: good: fire,heat,hot"
,curtain,,e254,"clothing,fabric: window"
,Cush_land,,e1e2,"Land,ground,earth,space: man: all,whole: moon,night"
,Cush_man,Cush_man Cush,edca,"Man: all,whole: moon,night"
,custom,,eb10,"all,whole: work,do"
,cymbal,drum cymbal,ebe3,"hand: sound,noise: ear,hear: thing"
,Cypress,,edcb,"Sad,grieve: tree,plant,wood"
,Cyprus,Kittim_island Cyprus,eb88,"good: island: water,wet: land,ground.earth,space: tree,plant,wood"
,Cyrene,,eb59,"Horse: tie,knot: land,ground,earth,space"
,Dalmanutha,,e344,"Person: mouth,said,speak,confession: land,ground,earth,space"
,Dalmatia,,ecb1,"deceive.deception,false,lead_astray,lie: bad: no,not: true,truth: good: measure: village: many,much: neighbor: house: near,close"
,Damaris,,eb37,woman: cow
,Damascus,,ec31,"blood: hand: water,wet: village: many,much: neighbor: house: near,close"
,Dan_land,,edcc,"King,lord,ruler,master: or: earth,ground,land,space"
,Dan_man,,edcd,"Man: person: king,lord,ruler,master: or"
,dance,,e259,"walk: happy,joy: face"
,Daniel,,ea78,"man: me,I: or"
,Darius,,e490,
,dark,,ea17,"no,not: light: eye,see: sun,day"
,Dathan,,e2f7,"Man: law,lawful,commandment: book,read,learn: allow,permission,permit: mouth,said,speak: king,ruler,lord,master"
,daughter,,e00c,"small,few: woman: love,compassion"
,daughters,,e00d,"small,few: woman: love,compassion"
,David,,e35e,"man: appointed: call,beckon: mouth,said,speak,confession: near,close: person"
,dead,death dead die,e181,"no,not: heart"
,deaf,,e191,"no,not: ear,hear"
,Debir_city,,e43e,
,Debir_man,,e42d,
,Deborah,,efb5,"Woman: judge: king,lord,ruler,master: or"
,Decapolis,,e33e,"ten: land,ground,earth,space"
,deceive,deception deceive false lead_astray lie,e17f,"no,not: true,truth: good: measure"
,deceiver,hypocrite deceiver,e152,"person: deceive,deception,lie,false,lead_astray: bad: no,not: true,truth: good: measure"
,Dedan,,edce,"Man: forward,to"
,deep,depth deep,e321,
