ë,Attalia,EB,"time,when: village: many,much: neighbor: house: near,close"
,attendant,E150,person: straight: people
,author,E12C,"person: pen,write"
,authority,E034,"King,ruler,lord,master: mouth,said,speak,confession"
,avenge,ED0C,"Backward: Hand: same,equal"
,Avith,EFEA,"OT: man: small,few: old: no,not: new"
,awake,EC54,"end,finish: sleep,rest,lie_down"
,away,E11E,thing
,Azor,EA6C,"man: person: help: helper,attendant: straight: people"
,Azotus,EB7E,"praise,worship,exalt,dignify: mouth,said,speak,confession: good: tree,plant,wood: village: many,much: neighbor: house: near,close"
,Baal,EBBF,"have: hand: .: mute: mouth,said,speak: no,not: thing"
,Baal_Hanan,E169,"Man: very: no,not: knife,cut"
,Babel,EA67,Ignorant: know: no: land
,baby,E0A6,"very: small,few: person"
,Babylon,EA67,"ignorant,ignorance: know,knowledge: no,not: land,ground,earth,space"
,backward,E325,
,bad,E17D,"no,not: good"
,bag,E26F,soft: box
,Balaam,ECA1,"Man: prophesy: eye,see: forward,to: donkey: small,few: horse"
,Balak,EBFF,"Man: bad: no,not: good: king,ruler,lord,master"
,bank,EC55,"house: money,wealth,wealthy: hand"
,baptism,E24A,"Water,wet: person"
Sy: ,baptize,E24A,"Water,wet: person"
,Barabbas,E36D,"man: kill,destroy: knife,cut: person"
,Barachiah,EA97,"man: happy,joy: face: many,much"
,Barak,ED02,Man: shake
,Barnabas,EC2F,"man: encourage: free,freedom: no,not: chain,imprisoned,bound,arrest: heart"
,Barsabbas,EB69,"man: water,wet"
,Bartholomew,E362,"man: up: water,wet"
,Bartimaeus,E36B,"man: blind: no,not: eye,see"
,Basemath,EDBD,"Woman: perfume,fragrant: good: nose,smell"
,basket,E19F,"small,few: net"
,battle,E283,
,bear,ECEF,Shield: animal
,bear_with,E227,"very: with: same,equal: people"
,beast,E103,"animal: bad: no,not: good"
,beat,E0E4,"hand: pain,hurt: knife,cut: heart"
,beautiful,EA4A,"good: eye,see"
,beauty,EA4A,"good: eye,see"
,because,E066,"know,knowledge: ?"
,beckon,E040,"mouth,said,speak,confession: near,close"
,become_person,E83A,"change,turn: person"
,become_thing,E839,"change,turn: thing"
,bed,E122,"Sleep,rest,lie_down: straight"
,Bedad,E1EE,"Man: same,equal: part"
,Beelzebul,E335,"big: bad: no,not: good: spirit: person"
,Beer_Lahai_Roi,EEF9,"Eye,see: well: water,wet: hole"
,Beeri,EDBE,Man: hole
,Beersheba,EDBF,"Promise: mouth,said,speak,confession: work,do: village: many,much: neighbor: house: near,close"
,before,E107,backward: thing
,beg,E21E,"very: mouth,said,speak,confession: desire,like,want,will: love,compassion: heart"
,beginning,E231,
,behind,E116,thing: thing
,Beker,EFB1,Man: camel
,Bela_man,E1ED,"Man: king,lord,ruler,master: near,close"
,Bela_village,EDC1,"Eat,food,meal: mouth,said,speak,confession: thing: village: many,much: neighbor: house: near,close"
,believe,E06F,"know,knowledge: cross"
,Believer,EB90,"follow: people: forward,to: king,lord,ruler,master: cross"
,belt,E29D,
,Ben_Ammi,EDC2,Man: big: people
,Ben_oni,E1A4,OT: man: man
,Benjamin,EB4B,man: hand
,Beor,EDA3,"Man: very: fire,heat,hot"
,Bera,EDC3,"Man: bad: no,not: good"
,Berea,EB13,"no,not: walk: village: many,much: neighbor: house: near,close"
,Bered_city,E2D0,"Hail_storm: cloud: soft: thing: hard: soft: no,not: village: many,much: neighbor: house: near,close"
,Bered_man,EFB2,"Man: hail_storm: cloud: soft: thing: hard: soft: no,not"
,Beriah,EFB3,"Man: heart: bad: no,not: good"
,Bernice,EB9E,"woman: victory,prevail,triumph: king,lord,ruler,master: war,fight,battle"
,beside,E117,thing: .
,best,E21F,very : good
,Bethany,E349,"house: pain,hurt: knife,cut: heart: village: many,much: neighbor: house: near,close"
,Bethel,EDC4,"Hei: village: many,much: neighborhood: house: near,close"
,Bethesda,EBA0,"love,compassion: person: lake: small,few: water,wet"
,Bethlehem,EA45,"birth,born: start,beginning: person: village: many,much: neighbor: house: near,close"
,Bethphage,E348,"Cross: horse: village: many,much: neighbor: house: near,close"
,Bethsaida,E340,"harvest: hand: grain,wheat: village: many,much: neighbor: house: near,close"
,Bethuel_city,E1E0,"OT: man: clean,pure: water,wet: good: village: many,much: neighbor: house: near,close"
,Bethuel_man,E1A0,"OT: man: clean,pure: water,wet: good"
,betray,E195,"no,not: trust: love,compassion: good: measure"
